reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD
Animalia,Phasianus colchicus,Phasianus colchicus,Faisn,INTRODUCIDA (I)               
Animalia,Numida meleagris,Numida meleagris,Guinea,INTRODUCIDA (I)               
Animalia,Aramus guarauna,Aramus guarauna,Carrao,RESIDENTE PERMANENTE (RP)     
Animalia,Rallus longirostris,Rallus longirostris,Pollo de manglar,RESIDENTE PERMANENTE (RP)     
Animalia,Porzana carolina,Porzana carolina,Gallito,MIGRATORIA (M)                
Animalia,Porzana flaviventer,Porzana flaviventer,Guineita,RESIDENTE PERMANENTE (RP)     
Animalia,Laterallus jamaicensis,Laterallus jamaicensis,Gallito negro,NO DEFINIDO                   
Animalia,Gallinula chloropus,Gallinula chloropus,Gallareta pico rojo,RESIDENTE PERMANENTE (RP)     
Animalia,Fulica americana,Fulica americana,Gallareta pico blanco,NO DEFINIDO                   
Animalia,Fulica caribaea,Fulica caribaea,Gallareta pico blanco,RESIDENTE PERMANENTE (RP)     
Animalia,Pardirallus maculatus,Pardirallus maculatus,Pollo manchado,RESIDENTE PERMANENTE (RP)     
Animalia,Jacana spinosa,Jacana spinosa,Gallito de agua,RESIDENTE PERMANENTE (RP)     
Animalia,Haematopus palliatus,Haematopus palliatus,Blue-wind Teal,RESIDENTE PERMANENTE (RP)     
Animalia,Charadrius semipalmatus,Charadrius semipalmatus,Playerito,MIGRATORIA (M)                
Animalia,Charadrius melodus,Charadrius melodus,Playerito,MIGRATORIA (M)                
Animalia,Charadrius wilsonia,Charadrius wilsonia,"Playerito, Cabezn",RESIDENTE PERMANENTE (RP)     
Animalia,Charadrius vociferus,Charadrius vociferus,Tito,NO DEFINIDO                   
Animalia,Pluvialis dominica,Pluvialis dominica,Playero ,PASAJERA(P)                   
Animalia,Pluvialis squatarola,Pluvialis squatarola,Playero,MIGRATORIA (M)                
Animalia,Arenaria interpres,Arenaria interpres,Playero turco,MIGRATORIA (M)                
Animalia,Numenius phaeopus,Numenius phaeopus,Zarapito trinador,MIGRATORIA (M)                
Animalia,Bartramia longicauda,Bartramia longicauda,Playero,MIGRATORIA (M)                
Animalia,Actitis macularia,Actitis macularia,Playerito manchado,MIGRATORIA (M)                
Animalia,Tringa solitaria,Tringa solitaria,Playero solitario,MIGRATORIA (M)                
Animalia,Tringa melanoleuca,Tringa melanoleuca,Patas amarillas mayor,MIGRATORIA (M)                
Animalia,Tringa flavipes,Tringa flavipes,Patas amarillas menor,MIGRATORIA (M)                
Animalia,Calidris canutus,Calidris canutus,Playerito,MIGRATORIA (M)                
Animalia,Calidris melanotos,Calidris melanotos,Playerito,MIGRATORIA (M)                
Animalia,Calidris fuscicollis,Calidris fuscicollis,Playerito,MIGRATORIA (M)                
Animalia,Calidris bairdii,Calidris bairdii,Playero de Baird,MIGRATORIA (M)                
Animalia,Calidris minutilla,Calidris minutilla,Playerito,MIGRATORIA (M)                
Animalia,Calidris alpina,Calidris alpina,Playero rojo,MIGRATORIA (M)                
Animalia,Calidris pusilla,Calidris pusilla,Playerito,MIGRATORIA (M)                
Animalia,Calidris mauri,Calidris mauri,Playerito,MIGRATORIA (M)                
Animalia,Calidris alba,Calidris alba,Playerito,MIGRATORIA (M)                
Animalia,Limnodromus griseus,Limnodromus griseus,Costurero pico corto,MIGRATORIA (M)                
