reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD,Localizado_RD
Plantae,Cassipourea guianensis,Cassipourea guianensis,,NATIVA (N)                    ,S
Plantae,Ximenia americana,Ximenia americana,,NATIVA (N)                    ,S
Plantae,Scybalium jamaicense,Scybalium jamaicense,Retoo de la tierra,NATIVA (N)                    ,S
Plantae,Crossopetalum rhacoma,Crossopetalum rhacoma,,NATIVA (N)                    ,S
Plantae,Gyminda latifolia,Gyminda latifolia,,NATIVA (N)                    ,S
Plantae,Schaefferia frutescens,Schaefferia frutescens,Cabrita cimarrona,NATIVA (N)                    ,S
Plantae,Ilex macfadyenii,Ilex macfadyenii,Palo blaco,NATIVA (N)                    ,S
Plantae,Euphorbia cyathophora,Euphorbia cyathophora,Yerba lechera,NATIVA (N)                    ,S
Plantae,Euphorbia heterophylla,Euphorbia heterophylla,Yerba de leche,NATIVA (N)                    ,S
Plantae,Euphorbia peplus,Euphorbia peplus,,INTRODUCIDA (I)               ,S
Plantae,Acalypha alopecuroidea,Acalypha alopecuroidea,,NATIVA (N)                    ,S
Plantae,Alchornea latifolia,Alchornea latifolia,Aguacatillo,NATIVA (N)                    ,S
Plantae,Bernardia dichotoma,Bernardia dichotoma,,NATIVA (N)                    ,S
Plantae,Croton corylifolius,Croton corylifolius,Hueledor,NATIVA (N)                    ,S
Plantae,Croton betulinus,Croton betulinus,Palo de berraco,NATIVA (N)                    ,S
Plantae,Croton discolor,Croton discolor,Tremolina prieta,NATIVA (N)                    ,S
Plantae,Drypetes ilicifolia,Drypetes ilicifolia,,NATIVA (N)                    ,S
Plantae,Drypetes lateriflora,Drypetes lateriflora,Pae manuel,NATIVA (N)                    ,S
Plantae,Margaritaria nobilis,Margaritaria nobilis,Palo amargo,NATIVA (N)                    ,S
Plantae,Savia sessiliflora,Savia sessiliflora,Cuba negra,NATIVA (N)                    ,S
Plantae,Tragia volubilis,Tragia volubilis,Pringa moza,NATIVA (N)                    ,S
Plantae,Colubrina arborescens,Colubrina arborescens,,NATIVA (N)                    ,S
Plantae,Colubrina elliptica,Colubrina elliptica,Mab,NATIVA (N)                    ,S
Plantae,Gouania lupuloides,Gouania lupuloides,Bejuco de indio,NATIVA (N)                    ,S
Plantae,Krugiodendron ferreum,Krugiodendron ferreum,Quiebra hacha,NATIVA (N)                    ,S
Plantae,Rhamnus sphaerosperma,Rhamnus sphaerosperma,,NATIVA (N)                    ,S
Plantae,Vitis tiliifolia,Vitis tiliifolia,,NATIVA (N)                    ,S
Plantae,Cissus tuberculata,Cissus tuberculata,,NATIVA (N)                    ,S
Plantae,Allophylus occidentalis,Allophylus occidentalis,,NATIVA (N)                    ,S
Plantae,Allophylus crassinervis,Allophylus crassinervis,,NATIVA (N)                    ,S
Plantae,Cupania americana,Cupania americana,,NATIVA (N)                    ,S
Plantae,Exothea paniculata,Exothea paniculata,,NATIVA (N)                    ,S
Plantae,Hypelate trifoliata,Hypelate trifoliata,,NATIVA (N)                    ,S
Plantae,Serjania polyphylla,Serjania polyphylla,Bejuco de costilla,NATIVA (N)                    ,S
Plantae,Bursera simaruba,Bursera simaruba,Almacigo,NATIVA (N)                    ,S
Plantae,Zanthoxylum fagara,Zanthoxylum fagara,,NATIVA (N)                    ,S
Plantae,Zanthoxylum flavum,Zanthoxylum flavum,,NATIVA (N)                    ,S
Plantae,Zanthoxylum spinifex,Zanthoxylum spinifex,,NATIVA (N)                    ,S
Plantae,Amyris elemifera,Amyris elemifera,Guaconejo,NATIVA (N)                    ,S
Plantae,Citrus aurantifolia,Citrus aurantifolia,,NO DEFINIDO                   ,S
Plantae,Cedrela odorata,Cedrela odorata,,NATIVA (N)                    ,S
Plantae,Swietenia mahagoni,Swietenia mahagoni,Caoba,NATIVA (N)                    ,S
Plantae,Trichilia pallida,Trichilia pallida,,NATIVA (N)                    ,S
Plantae,Guaiacum sanctum,Guaiacum sanctum,"Vera, Guayacancillo",NATIVA (N)                    ,S
Plantae,Tribulus cistoides,Tribulus cistoides,,NATIVA (N)                    ,S
Plantae,Geranium rotundifolium,Geranium rotundifolium,,INTRODUCIDA (I)               ,S
Plantae,Erythroxylum areolatum,Erythroxylum areolatum,,NATIVA (N)                    ,S
Plantae,Erythroxylum brevipes,Erythroxylum brevipes,Papelillo,NATIVA (N)                    ,S
Plantae,Erythroxylum rufum,Erythroxylum rufum,,NATIVA (N)                    ,S
Plantae,Bunchosia glandulosa,Bunchosia glandulosa,Cabrita,NATIVA (N)                    ,S
Plantae,Tetrapteris buxifolia,Tetrapteris buxifolia,,NATIVA (N)                    ,S
Plantae,Polygala penaea,Polygala penaea,,NATIVA (N)                    ,S
Plantae,Securidaca virgata,Securidaca virgata,Maraved,NATIVA (N)                    ,S
Plantae,Dendropanax arboreus,Dendropanax arboreus,Bois ngresse,NATIVA (N)                    ,S
Plantae,Hydrocotyle hirsuta,Hydrocotyle hirsuta,,NATIVA (N)                    ,S
Plantae,Pastinaca sativa,Pastinaca sativa,,INTRODUCIDA (I)               ,S
Plantae,Echites umbellata,Echites umbellata,Bejuco de leche,NATIVA (N)                    ,S
Plantae,Plumeria obtusa,Plumeria obtusa,Aleli,NATIVA (N)                    ,S
Plantae,Rauvolfia nitida,Rauvolfia nitida,Palo de leche,NATIVA (N)                    ,S
Plantae,Tabernaemontana citrifolia,Tabernaemontana citrifolia,Palo de leche,NATIVA (N)                    ,S
Plantae,Vallesia antillana,Vallesia antillana,,NATIVA (N)                    ,S
Plantae,Calotropis procera,Calotropis procera,Algodon de seda,NO DEFINIDO                   ,S
Plantae,Solanum americanum,Solanum americanum,,NATIVA (N)                    ,S
Plantae,Solanum ciliatum,Solanum ciliatum,,NATIVA (N)                    ,S
Plantae,Solanum torvum,Solanum torvum,,NATIVA (N)                    ,S
Plantae,Solanum antillarum,Solanum antillarum,,NATIVA (N)                    ,S
Plantae,Capsicum frutescens,Capsicum frutescens,,NATIVA (N)                    ,S
Plantae,Cestrum daphnoides,Cestrum daphnoides,,ENDEMICA (E)                  ,S
Plantae,Datura metel,Datura metel,,NATIVA (N)                    ,S
Plantae,Nicotiana tabacum,Nicotiana tabacum,,NATIVA (N)                    ,S
Plantae,Physalis pubescens,Physalis pubescens,,NATIVA (N)                    ,S
Plantae,Nothocestrum brevifolium,Nothocestrum brevifolium,,ENDEMICA (E)                  ,S
Plantae,Convolvulus nodiflorus,Convolvulus nodiflorus,,NATIVA (N)                    ,S
Plantae,Dichondra sericea,Dichondra sericea,,NATIVA (N)                    ,S
Plantae,Jacquemontia verticillata,Jacquemontia verticillata,,NATIVA (N)                    ,S
Plantae,Merremia quinquefolia,Merremia quinquefolia,,NATIVA (N)                    ,S
Plantae,Gilia incisa,Gilia incisa,,NATIVA (N)                    ,S
Plantae,Heliotropium curassavicum,Heliotropium curassavicum,Yerba de alacrn,NATIVA (N)                    ,S
Plantae,Heliotropium angiospermum,Heliotropium angiospermum,Alacrancillo,NO DEFINIDO                   ,S
Plantae,Cordia globosa,Cordia globosa,Cinegal,NO DEFINIDO                   ,S
Plantae,Tournefortia hirsutissima,Tournefortia hirsutissima,Nigua,NATIVA (N)                    ,S
Plantae,Tournefortia volubilis,Tournefortia volubilis,Nigua,NO DEFINIDO                   ,S
Plantae,Lippia micromera,Lippia micromera,,NATIVA (N)                    ,S
Plantae,Avicennia germinans,Avicennia germinans,,NO DEFINIDO                   ,S
Plantae,Bouchea prismatica,Bouchea prismatica,,NATIVA (N)                    ,S
Plantae,Citharexylum fruticosum,Citharexylum fruticosum,Penda,NATIVA (N)                    ,S
Plantae,Lantana camara,Lantana camara,Doa sanica,NATIVA (N)                    ,S
Plantae,Lantana involucrata,Lantana involucrata,Doa sanica,NO DEFINIDO                   ,S
Plantae,Lantana reticulata,Lantana reticulata,,NATIVA (N)                    ,S
Plantae,Lantana urticifolia,Lantana urticifolia,,NATIVA (N)                    ,S
Plantae,Stachytarpheta jamaicensis,Stachytarpheta jamaicensis,,NATIVA (N)                    ,S
Plantae,Satureja brownei,Satureja brownei,,ENDEMICA (E)                  ,S
Plantae,Hyptis pectinata,Hyptis pectinata,,NATIVA (N)                    ,S
Plantae,Salvia occidentalis,Salvia occidentalis,,NATIVA (N)                    ,S
Plantae,Plantago lanceolata,Plantago lanceolata,,INTRODUCIDA (I)               ,S
Plantae,Forestiera segregata,Forestiera segregata,,NATIVA (N)                    ,S
Plantae,Jasminum fluminense,Jasminum fluminense,Jazmn,NO DEFINIDO                   ,S
Plantae,Bacopa monnieri,Bacopa monnieri,Arrocito,NO DEFINIDO                   ,S
